,rsu,TR,weights_s,weights_m,n_veh,n_buses,n_sav,n_chs,stab_eval
0,yes,200,"[0.5, 0.2, 0.3]",[0. 0. 1.],49,5,0.5666666666666667,23.066666666666666,0.2783240539169448
1,yes,200,"[0.5, 0.2, 0.3]",[0.  0.1 0.9],49,5,0.5666666666666667,23.066666666666666,0.2693954824883734
2,yes,200,"[0.5, 0.2, 0.3]",[0.  0.2 0.8],49,5,0.5666666666666667,23.3,0.25850935943890146
3,yes,200,"[0.5, 0.2, 0.3]",[0.  0.3 0.7],49,5,0.5666666666666667,23.3,0.27758625249120433
4,yes,200,"[0.5, 0.2, 0.3]",[0.  0.4 0.6],49,5,0.5833333333333334,23.283333333333335,0.2776815672564547
5,yes,200,"[0.5, 0.2, 0.3]",[0.  0.5 0.5],49,5,0.5666666666666667,23.283333333333335,0.27802536256146193
6,yes,200,"[0.5, 0.2, 0.3]",[0.  0.6 0.4],49,5,0.5833333333333334,23.283333333333335,0.27949028254584923
7,yes,200,"[0.5, 0.2, 0.3]",[0.  0.7 0.3],49,5,0.6,22.866666666666667,0.26863514454417164
8,yes,200,"[0.5, 0.2, 0.3]",[0.  0.8 0.2],49,5,0.6166666666666667,23.233333333333334,0.27606401060049857
9,yes,200,"[0.5, 0.2, 0.3]",[0.  0.9 0.1],49,5,0.6166666666666667,23.466666666666665,0.2758423645650352
10,yes,200,"[0.5, 0.2, 0.3]",[0. 1. 0.],49,5,0.6166666666666667,23.383333333333333,0.28107901352789905
11,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.  0.9],49,5,0.5666666666666667,23.066666666666666,0.2783240539169448
12,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.1 0.8],49,5,0.5666666666666667,23.066666666666666,0.2693954824883734
13,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.2 0.7],49,5,0.5666666666666667,23.283333333333335,0.28168949214772265
14,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.3 0.6],49,5,0.5666666666666667,23.283333333333335,0.2918697015265562
15,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.4 0.5],49,5,0.5666666666666667,23.283333333333335,0.27775963126894493
16,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.5 0.4],49,5,0.5833333333333334,23.283333333333335,0.279448462539158
17,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.6 0.3],49,5,0.6,22.866666666666667,0.2700988447783637
18,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.7 0.2],49,5,0.6166666666666667,23.233333333333334,0.27606401060049857
19,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.8 0.1],49,5,0.6166666666666667,23.383333333333333,0.279615313293707
20,yes,200,"[0.5, 0.2, 0.3]",[0.1 0.9 0. ],49,5,0.6166666666666667,23.383333333333333,0.28107901352789905
21,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.  0.8],49,5,0.5666666666666667,23.066666666666666,0.2783240539169448
22,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.1 0.7],49,5,0.5666666666666667,23.066666666666666,0.2693954824883734
23,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.2 0.6],49,5,0.5666666666666667,23.283333333333335,0.29003258348261735
24,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.3 0.5],49,5,0.5666666666666667,23.283333333333335,0.2918697015265562
25,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.4 0.4],49,5,0.5666666666666667,23.283333333333335,0.29141177245328764
26,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.5 0.3],49,5,0.5833333333333334,22.65,0.2839567082263911
27,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.6 0.2],49,5,0.6,22.866666666666667,0.2695093344267504
28,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.7 0.1],49,5,0.6166666666666667,23.383333333333333,0.279615313293707
29,yes,200,"[0.5, 0.2, 0.3]",[0.2 0.8 0. ],49,5,0.6166666666666667,23.383333333333333,0.28107901352789905
30,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.  0.7],49,5,0.5666666666666667,23.066666666666666,0.2774463299460005
31,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.1 0.6],49,5,0.5666666666666667,23.066666666666666,0.2693954824883734
32,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.2 0.5],49,5,0.5666666666666667,23.283333333333335,0.288490819235935
33,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.3 0.4],49,5,0.55,23.283333333333335,0.28764030484985276
34,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.4 0.3],49,5,0.5833333333333334,22.65,0.2819828039105664
35,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.5 0.2],49,5,0.5833333333333334,22.866666666666667,0.28946375061945695
36,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.6 0.1],49,5,0.6,23.383333333333333,0.2924373273452292
37,yes,200,"[0.5, 0.2, 0.3]",[0.3 0.7 0. ],49,5,0.6166666666666667,23.383333333333333,0.28107901352789905
38,yes,200,"[0.5, 0.2, 0.3]",[0.4 0.  0.6],49,5,0.5666666666666667,23.066666666666666,0.27590456569931826
39,yes,200,"[0.5, 0.2, 0.3]",[0.4 0.1 0.5],49,5,0.5666666666666667,23.066666666666666,0.27946623626918554
40,yes,200,"[0.5, 0.2, 0.3]",[0.4 0.2 0.4],49,5,0.55,23.283333333333335,0.2934114657732385
41,yes,200,"[0.5, 0.2, 0.3]",[0.4 0.3 0.3],49,5,0.5833333333333334,22.65,0.2850126633953439
42,yes,200,"[0.5, 0.2, 0.3]",[0.4 0.4 0.2],49,5,0.5833333333333334,22.866666666666667,0.28850984341554975
43,yes,200,"[0.5, 0.2, 0.3]",[0.4 0.5 0.1],49,5,0.6,23.383333333333333,0.2922177723101004
44,yes,200,"[0.5, 0.2, 0.3]",[0.4 0.6 0. ],49,5,0.6,23.383333333333333,0.2921641033015134
45,yes,200,"[0.5, 0.2, 0.3]",[0.5 0.  0.5],49,5,0.5666666666666667,23.066666666666666,0.28868754774459543
46,yes,200,"[0.5, 0.2, 0.3]",[0.5 0.1 0.4],49,5,0.5833333333333334,22.65,0.28283660246666564
47,yes,200,"[0.5, 0.2, 0.3]",[0.5 0.2 0.3],49,5,0.5666666666666667,22.65,0.28268973627367555
48,yes,200,"[0.5, 0.2, 0.3]",[0.5 0.3 0.2],49,5,0.5666666666666667,22.866666666666667,0.2897318588610722
49,yes,200,"[0.5, 0.2, 0.3]",[0.5 0.4 0.1],49,5,0.6,23.383333333333333,0.2922177723101004
50,yes,200,"[0.5, 0.2, 0.3]",[0.5 0.5 0. ],49,5,0.6166666666666667,23.166666666666668,0.29505705453476755
51,yes,200,"[0.5, 0.2, 0.3]",[0.6 0.  0.4],49,5,0.5666666666666667,23.066666666666666,0.2881560661322595
52,yes,200,"[0.5, 0.2, 0.3]",[0.6 0.1 0.3],49,5,0.5666666666666667,22.866666666666667,0.28117861791933685
53,yes,200,"[0.5, 0.2, 0.3]",[0.6 0.2 0.2],49,5,0.5666666666666667,22.866666666666667,0.28950906277542493
54,yes,200,"[0.5, 0.2, 0.3]",[0.6 0.3 0.1],49,5,0.5833333333333334,22.866666666666667,0.2884503196060259
55,yes,200,"[0.5, 0.2, 0.3]",[0.6 0.4 0. ],49,5,0.6166666666666667,23.383333333333333,0.2898444301827988
56,yes,200,"[0.5, 0.2, 0.3]",[0.7 0.  0.3],49,5,0.6,22.416666666666668,0.31865379692934986
57,yes,200,"[0.5, 0.2, 0.3]",[0.7 0.1 0.2],49,5,0.5666666666666667,22.65,0.28785298604250376
58,yes,200,"[0.5, 0.2, 0.3]",[0.7 0.2 0.1],49,5,0.5833333333333334,22.65,0.2932428879048881
59,yes,200,"[0.5, 0.2, 0.3]",[0.7 0.3 0. ],49,5,0.6166666666666667,23.133333333333333,0.2930800834184521
60,yes,200,"[0.5, 0.2, 0.3]",[0.8 0.  0.2],49,5,0.6166666666666667,23.216666666666665,0.3205833086744354
61,yes,200,"[0.5, 0.2, 0.3]",[0.8 0.1 0.1],49,5,0.6166666666666667,23.233333333333334,0.3110448005029736
62,yes,200,"[0.5, 0.2, 0.3]",[ 0.8  0.2 -0. ],49,5,0.6166666666666667,23.133333333333333,0.2925001078384765
63,yes,200,"[0.5, 0.2, 0.3]",[0.9 0.  0.1],49,5,0.6166666666666667,23.216666666666665,0.31760268274298975
64,yes,200,"[0.5, 0.2, 0.3]",[ 0.9  0.1 -0. ],49,5,0.6333333333333333,22.9,0.3181849076635726
65,yes,200,"[0.5, 0.2, 0.3]",[1. 0. 0.],49,5,0.6166666666666667,22.95,0.26505983752331336
